iso,country,subject_descriptor,units,scale,2015,2016,2017,2018,2019,2020,2021,2022,2023,estimates_after
CAN,Canada,Unemployment rate,Percent of total labor force,,6.942,7.05,6.383,5.908,5.733,9.6,7.723,5.668,4.925,2020
CAN,Canada,Population,Persons,Millions,35.678,36.052,36.495,37.003,37.534,37.973,38.188,38.593,39.003,2020
CAF,Central African Republic,"Gross domestic product, constant prices",Percent change,,4.338,4.75,4.528,3.82,2.97,0.97,-0.998,4.031,4.978,2017
CAF,Central African Republic,"Gross domestic product, current prices",U.S. dollars,Billions,1.696,1.825,2.072,2.28,2.277,2.387,2.587,2.797,3.016,2017
CAF,Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,377.476,402.053,450.744,488.563,479.846,494.186,525.914,557.442,589.141,2004
CAF,Central African Republic,"Inflation, average consumer prices",Percent change,,1.403,4.945,4.181,1.612,2.685,2.304,3.654,2.474,2.5,2020
CAF,Central African Republic,Unemployment rate,Percent of total labor force,,,,,,,,,,,
CAF,Central African Republic,Population,Persons,Millions,4.493,4.538,4.596,4.666,4.745,4.83,4.92,5.017,5.119,2004
TCD,Chad,"Gross domestic product, constant prices",Percent change,,1.77,-5.558,-2.38,2.303,2.96,-0.821,0.939,2.371,2.54,2017
TCD,Chad,"Gross domestic product, current prices",U.S. dollars,Billions,10.952,10.202,10.079,11.036,10.934,10.836,12.345,12.953,13.722,2017
TCD,Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,776.105,700.558,671.18,713.034,685.677,659.674,729.844,743.841,765.721,2004
TCD,Chad,"Inflation, average consumer prices",Percent change,,4.827,-1.632,-0.897,4.037,-0.972,4.464,2.627,2.827,2.828,2020
TCD,Chad,Unemployment rate,Percent of total labor force,,,,,,,,,,,
TCD,Chad,Population,Persons,Millions,14.111,14.562,15.017,15.478,15.947,16.426,16.915,17.414,17.921,2004
CHL,Chile,"Gross domestic product, constant prices",Percent change,,2.296,1.725,1.154,3.718,1.015,-5.845,10.999,2.471,1.878,2020
CHL,Chile,"Gross domestic product, current prices",U.S. dollars,Billions,243.89,250.332,276.929,297.501,279.338,252.821,331.25,352.664,374.228,2020
CHL,Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"13,571.02","13,779.40","15,034.80","15,865.54","14,619.50","12,992.98","16,799.37","17,701.62","18,606.54",2020
CHL,Chile,"Inflation, average consumer prices",Percent change,,4.349,3.789,2.183,2.319,2.251,3.044,4.191,4.43,3.082,2020
CHL,Chile,Unemployment rate,Percent of total labor force,,6.328,6.685,6.965,7.377,7.223,10.77,9.052,7.365,6.798,2020
CHL,Chile,Population,Persons,Millions,17.971,18.167,18.419,18.751,19.107,19.458,19.718,19.923,20.113,2020
CHN,China,"Gross domestic product, constant prices",Percent change,,7.018,6.851,6.947,6.751,5.951,2.342,8.015,5.602,5.277,2020
CHN,China,"Gross domestic product, current prices",U.S. dollars,Billions,"11,113.51","11,226.90","12,265.33","13,841.81","14,340.60","14,866.74","16,862.98","18,463.13","19,993.50",2020
CHN,China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"8,034.29","8,063.45","8,760.26","9,848.95","10,170.06","10,511.34","11,891.20","12,990.01","14,040.08",2020
CHN,China,"Inflation, average consumer prices",Percent change,,1.441,2.003,1.558,2.105,2.903,2.39,1.066,1.82,1.919,2020
CHN,China,Unemployment rate,Percent of total labor force,,4.05,4.02,3.9,3.8,3.62,4.24,3.8,3.7,3.6,2020
CHN,China,Population,Persons,Millions,"1,383.26","1,392.32","1,400.11","1,405.41","1,410.08","1,414.35","1,418.11","1,421.33","1,424.03",2020
COL,Colombia,"Gross domestic product, constant prices",Percent change,,2.956,2.087,1.359,2.564,3.281,-6.796,7.608,3.834,3.256,2020
COL,Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,293.493,282.72,311.89,334.124,323.375,271.554,300.791,319.29,336.247,2020
COL,Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,337.04","6,037.13","6,577.30","6,923.64","6,546.63","5,390.92","5,892.14","6,186.66","6,446.91",2020
COL,Colombia,"Inflation, average consumer prices",Percent change,,4.994,7.504,4.313,3.239,3.522,2.522,3.207,3.535,3.043,2020
COL,Colombia,Unemployment rate,Percent of total labor force,,8.925,9.225,9.375,9.692,10.5,16.067,14.545,13.778,13.127,2020
COL,Colombia,Population,Persons,Millions,46.314,46.83,47.419,48.258,49.396,50.372,51.049,51.609,52.156,2020
COM,Comoros,"Gross domestic product, constant prices",Percent change,,1.299,3.457,4.177,3.639,1.756,-0.504,1.6,3.83,3.682,2019
COM,Comoros,"Gross domestic product, current prices",U.S. dollars,Billions,0.966,1.013,1.077,1.179,1.188,1.216,1.281,1.363,1.453,2019
COM,Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,231.14","1,256.04","1,300.57","1,386.01","1,359.75","1,355.30","1,390.06","1,426.52","1,466.97",2015
COM,Comoros,"Inflation, average consumer prices",Percent change,,0.941,0.802,0.092,1.702,3.701,0.8,-1.045,1.234,1.399,2019
COM,Comoros,Unemployment rate,Percent of total labor force,,,,,,,,,,,
COM,Comoros,Population,Persons,Millions,0.785,0.806,0.828,0.851,0.874,0.897,0.921,0.955,0.991,2015
COD,Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change,,6.916,2.399,3.727,5.816,4.39,1.735,4.862,5.594,6.613,2020
COD,Democratic Republic of the Congo,"Gross domestic product, current prices",U.S. dollars,Billions,37.915,36.64,37.981,47.146,50.399,48.707,54.832,59.246,64.296,2020
COD,Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,497.277,465.034,466.599,560.811,580.695,543.834,593.558,622.068,655.062,2020
COD,Democratic Republic of the Congo,"Inflation, average consumer prices",Percent change,,0.738,3.193,35.734,29.266,4.705,11.358,9.393,6.35,6.6,2020
COD,Democratic Republic of the Congo,Unemployment rate,Percent of total labor force,,,,,,,,,,,
COD,Democratic Republic of the Congo,Population,Persons,Millions,76.245,78.789,81.399,84.068,86.791,89.561,92.378,95.241,98.152,2020
COG,Republic of Congo,"Gross domestic product, constant prices",Percent change,,-3.551,-10.702,-4.374,-4.846,-0.431,-8.169,-0.164,2.303,2.976,2018
COG,Republic of Congo,"Gross domestic product, current prices",U.S. dollars,Billions,11.891,10.159,11.11,13.649,12.791,10.329,12.744,13.303,13.85,2018
COG,Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,873.72","2,395.18","2,555.44","3,062.92","2,800.29","2,206.17","2,655.72","2,704.46","2,746.97",2018
COG,Republic of Congo,"Inflation, average consumer prices",Percent change,,3.168,3.191,0.449,1.153,2.207,1.818,1.983,2.793,3,2019
COG,Republic of Congo,Unemployment rate,Percent of total labor force,,,,,,,,,,,
COG,Republic of Congo,Population,Persons,Millions,4.138,4.241,4.347,4.456,4.568,4.682,4.799,4.919,5.042,2020
CRI,Costa Rica,"Gross domestic product, constant prices",Percent change,,3.652,4.204,4.158,2.616,2.256,-4.064,3.9,3.499,3.1,2020
CRI,Costa Rica,"Gross domestic product, current prices",U.S. dollars,Billions,56.442,58.847,60.517,62.422,64.067,61.833,61.46,64.374,68.167,2020
CRI,Costa Rica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"11,635.20","11,986.92","12,185.26","12,428.92","12,623.19","12,056.96","11,860.22","12,294.13","12,883.88",2020
CRI,Costa Rica,"Inflation, average consumer prices",Percent change,,0.803,-0.017,1.625,2.22,2.098,0.724,1.343,1.469,1.75,2020
CRI,Costa Rica,Unemployment rate,Percent of total labor force,,9.604,9.541,9.293,11.951,12.417,19.98,16.3,14,12,2020
CRI,Costa Rica,Population,Persons,Millions,4.851,4.909,4.966,5.022,5.075,5.128,5.182,5.236,5.291,2020
CIV,Côte d'Ivoire,"Gross domestic product, constant prices",Percent change,,8.843,7.187,7.36,6.89,6.232,1.995,5.956,6.47,6.425,2017
CIV,Côte d'Ivoire,"Gross domestic product, current prices",U.S. dollars,Billions,45.815,47.964,51.588,58.011,58.539,61.231,68.845,75.075,82.116,2017
CIV,Côte d'Ivoire,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,932.22","1,971.62","2,066.85","2,265.29","2,227.98","2,271.38","2,489.10","2,645.56","2,820.36",2015
CIV,Côte d'Ivoire,"Inflation, average consumer prices",Percent change,,1.244,0.724,0.692,0.422,0.806,2.4,3,2.5,2.2,2019
CIV,Côte d'Ivoire,Unemployment rate,Percent of total labor force,,,,,,,,,,,
CIV,Côte d'Ivoire,Population,Persons,Millions,23.711,24.327,24.96,25.609,26.275,26.958,27.659,28.378,29.116,2015
HRV,Croatia,"Gross domestic product, constant prices",Percent change,,2.432,3.498,3.44,2.808,2.858,-8.029,6.3,5.8,4,2020
HRV,Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,49.526,51.601,55.482,61.375,60.752,56.171,63.399,68.525,73.979,2020
HRV,Croatia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"11,780.60","12,362.59","13,450.09","15,013.37","14,945.18","13,895.94","15,807.70","17,222.70","18,728.15",2020
HRV,Croatia,"Inflation, average consumer prices",Percent change,,-0.464,-1.125,1.129,1.5,0.772,0.106,1.983,1.952,2.106,2020
HRV,Croatia,Unemployment rate,Percent of total labor force,,17.067,14.958,12.433,9.858,7.758,9,8.384,7.953,7.589,2019
HRV,Croatia,Population,Persons,Millions,4.204,4.174,4.125,4.088,4.065,4.042,4.011,3.979,3.95,2020
CYP,Cyprus,"Gross domestic product, constant prices",Percent change,,3.218,6.438,5.156,5.24,3.076,-5.104,4.766,3.552,3.205,2020
CYP,Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,19.844,20.947,22.721,25.322,24.953,23.785,26.546,28.291,30.421,2020
CYP,Cyprus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"23,428.72","24,692.50","26,580.49","29,300.33","28,487.98","26,784.89","29,486.28","30,995.78","32,875.53",2020
CYP,Cyprus,"Inflation, average consumer prices",Percent change,,-1.54,-1.213,0.679,0.783,0.551,-1.097,1.671,1.05,1.2,2020
CYP,Cyprus,Unemployment rate,Percent of total labor force,,14.9,12.95,11.05,8.35,7.075,7.575,7.501,6.859,6.398,2020
CYP,Cyprus,Population,Persons,Millions,0.847,0.848,0.855,0.864,0.876,0.888,0.9,0.913,0.925,2020
CZE,Czech Republic,"Gross domestic product, constant prices",Percent change,,5.388,2.537,5.169,3.199,3.029,-5.794,3.787,4.489,4.127,2019
CZE,Czech Republic,"Gross domestic product, current prices",U.S. dollars,Billions,188.033,196.272,218.629,248.95,252.498,245.349,276.914,302.061,324.563,2019
CZE,Czech Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"17,842.87","18,597.21","20,666.67","23,463.60","23,709.18","22,942.86","25,806.38","28,076.59","30,114.28",2019
CZE,Czech Republic,"Inflation, average consumer prices",Percent change,,0.309,0.684,2.451,2.149,2.848,3.161,2.725,2.3,2,2019
CZE,Czech Republic,Unemployment rate,Percent of total labor force,,5.021,3.946,2.89,2.243,2.001,2.541,3.4,3.2,3,2019
CZE,Czech Republic,Population,Persons,Millions,10.538,10.554,10.579,10.61,10.65,10.694,10.73,10.758,10.778,2019
DNK,Denmark,"Gross domestic product, constant prices",Percent change,,2.343,3.248,2.819,1.991,2.114,-2.061,3.8,3,1.9,2020
DNK,Denmark,"Gross domestic product, current prices",U.S. dollars,Billions,302.673,313.116,332.121,356.841,347.561,356.085,396.666,414.55,436.621,2020
DNK,Denmark,"Gross domestic product per capita, current prices",U.S. dollars,Units,"53,478.50","54,862.85","57,772.55","61,724.49","59,861.61","61,153.92","67,919.59","70,769.47","74,314.29",2019
DNK,Denmark,"Inflation, average consumer prices",Percent change,,0.226,0.017,1.058,0.709,0.729,0.333,1.4,1.56,1.8,2020
DNK,Denmark,Unemployment rate,Percent of total labor force,,6.292,6.017,5.817,5.117,5.042,5.642,5.4,5.3,5.1,2020
DNK,Denmark,Population,Persons,Millions,5.66,5.707,5.749,5.781,5.806,5.823,5.84,5.858,5.875,2019
DJI,Djibouti,"Gross domestic product, constant prices",Percent change,,7.675,6.918,5.077,8.495,7.5,1,5,5.5,6,2018
DJI,Djibouti,"Gross domestic product, current prices",U.S. dollars,Billions,2.445,2.619,2.767,3.013,3.346,3.44,3.654,3.932,4.251,2018
DJI,Djibouti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,675.58","2,818.34","2,930.67","3,141.86","3,437.16","3,481.57","3,645.50","3,869.25","4,128.17",2018
DJI,Djibouti,"Inflation, average consumer prices",Percent change,,-0.847,2.738,0.568,0.148,3.319,1.777,1.155,2,2,2020
DJI,Djibouti,Unemployment rate,Percent of total labor force,,,,,,,,,,,
DJI,Djibouti,Population,Persons,Millions,0.914,0.929,0.944,0.959,0.974,0.988,1.002,1.016,1.03,2019
DMA,Dominica,"Gross domestic product, constant prices",Percent change,,-2.732,2.764,-6.619,3.548,7.488,-10.983,3.365,7.899,5.873,2018
DMA,Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,0.541,0.576,0.54,0.564,0.616,0.544,0.571,0.628,0.678,2018
DMA,Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"7,596.22","8,089.25","7,768.35","8,118.96","8,524.70","7,416.24","7,777.02","8,559.17","9,240.85",2011
DMA,Dominica,"Inflation, average consumer prices",Percent change,,-0.852,0.142,0.296,0.989,1.505,-0.727,1.451,2,1.975,2020
DMA,Dominica,Unemployment rate,Percent of total labor force,,,,,,,,,,,
DMA,Dominica,Population,Persons,Millions,0.071,0.071,0.069,0.07,0.072,0.073,0.073,0.073,0.073,2011
DOM,Dominican Republic,"Gross domestic product, constant prices",Percent change,,6.927,6.659,4.667,6.983,5.052,-6.72,9.521,5.502,5.027,2020
DOM,Dominican Republic,"Gross domestic product, current prices",U.S. dollars,Billions,71.254,75.777,80.082,85.63,89.032,78.923,89.502,97.371,104.389,2020
DOM,Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"7,139.51","7,521.27","7,874.94","8,340.96","8,595.61","7,553.51","8,491.62","9,158.02","9,732.88",2019
DOM,Dominican Republic,"Inflation, average consumer prices",Percent change,,0.837,1.614,3.28,3.564,1.811,3.781,7.806,4.543,4.033,2020
DOM,Dominican Republic,Unemployment rate,Percent of total labor force,,7.328,7.08,5.509,5.656,6.167,5.829,7.429,6.613,6.2,2020
DOM,Dominican Republic,Population,Persons,Millions,9.98,10.075,10.169,10.266,10.358,10.448,10.54,10.632,10.725,2019
ECU,Ecuador,"Gross domestic product, constant prices",Percent change,,0.099,-1.226,2.368,1.289,0.012,-7.75,2.796,3.506,2.526,2020
ECU,Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,99.29,99.938,104.296,107.562,108.108,98.808,104.483,109.975,114.076,2020
ECU,Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,099.35","6,046.30","6,216.61","6,318.48","6,260.60","5,642.74","5,884.15","6,107.60","6,247.54",2020
ECU,Ecuador,"Inflation, average consumer prices",Percent change,,3.966,1.728,0.417,-0.224,0.266,-0.339,-0.007,2.138,1.826,2020
ECU,Ecuador,Unemployment rate,Percent of total labor force,,4.77,5.21,4.62,3.69,3.84,5.336,4.588,4.202,4.07,2020
ECU,Ecuador,Population,Persons,Millions,16.279,16.529,16.777,17.023,17.268,17.511,17.757,18.006,18.259,2020
EGY,Egypt,"Gross domestic product, constant prices",Percent change,,4.372,4.347,4.077,5.314,5.558,3.57,3.333,5.218,5.627,2020
EGY,Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,332.075,332.484,236.528,250.253,302.335,363.245,396.328,438.348,476.362,2020
EGY,Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,731.18","3,653.67","2,484.54","2,577.27","3,056.98","3,600.84","3,851.75","4,176.60","4,449.80",2020
EGY,Egypt,"Inflation, average consumer prices",Percent change,,10.988,10.212,23.534,20.851,13.875,5.7,4.502,6.273,7.078,2020
EGY,Egypt,Unemployment rate,Percent of total labor force,,12.859,12.705,12.245,10.932,8.612,8.296,9.305,9.172,8.787,2020
EGY,Egypt,Population,Persons,Millions,89,91,95.2,97.1,98.9,100.878,102.896,104.953,107.053,2020
SLV,El Salvador,"Gross domestic product, constant prices",Percent change,,2.397,2.542,2.252,2.412,2.635,-7.944,9.025,3.54,2.34,2020
SLV,El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,23.438,24.191,24.979,26.021,26.897,24.639,27.665,29.316,30.458,2020
SLV,El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,705.58","3,805.99","3,910.26","4,052.62","4,167.44","3,798.83","4,244.30","4,475.18","4,626.44",2019
SLV,El Salvador,"Inflation, average consumer prices",Percent change,,-0.731,0.604,1.014,1.088,0.074,-0.37,3.564,2.943,1.604,2020
SLV,El Salvador,Unemployment rate,Percent of total labor force,,7,7.1,7.049,6.347,6.733,8.742,9.5,8.2,7.5,2019
SLV,El Salvador,Population,Persons,Millions,6.325,6.356,6.388,6.421,6.454,6.486,6.518,6.551,6.583,2019
GNQ,Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,-9.11,-8.816,-5.668,-6.237,-5.979,-4.893,4.146,-5.626,-1.502,2020
GNQ,Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,13.185,11.241,12.201,13.097,11.417,10.036,12.528,12.074,12.179,2020
GNQ,Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"11,217.99","9,202.54","9,624.53","9,968.09","8,394.42","7,136.81","8,625.76","8,058.55","7,886.88",2015
GNQ,Equatorial Guinea,"Inflation, average consumer prices",Percent change,,1.695,1.398,0.746,1.346,1.213,4.798,0.516,3.12,3.091,2019
GNQ,Equatorial Guinea,Unemployment rate,Percent of total labor force,,,,,,,,,,,
GNQ,Equatorial Guinea,Population,Persons,Millions,1.175,1.221,1.268,1.314,1.36,1.406,1.452,1.498,1.544,2015
ERI,Eritrea,"Gross domestic product, constant prices",Percent change,,-20.621,7.391,-10.015,13.032,3.836,-0.627,2.911,4.827,3.793,2018
ERI,Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,2.016,2.213,1.904,2.006,1.982,2.084,2.254,2.484,2.651,2018
ERI,Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,603.193,655.424,557.857,580.845,566.731,587.684,625.974,678.248,711.158,2006
ERI,Eritrea,"Inflation, average consumer prices",Percent change,,28.483,-5.577,-13.306,-14.401,-16.365,4.842,4.306,4.165,2.451,2018
ERI,Eritrea,Unemployment rate,Percent of total labor force,,,,,,,,,,,
ERI,Eritrea,Population,Persons,Millions,3.343,3.377,3.413,3.453,3.497,3.546,3.601,3.662,3.728,2006
EST,Estonia,"Gross domestic product, constant prices",Percent change,,1.853,3.155,5.792,4.134,4.096,-2.951,8.5,4.2,3.7,2020
EST,Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,22.893,24.066,26.915,30.503,31.049,30.626,36.039,39.542,42.602,2020
EST,Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"17,403.81","18,290.29","20,430.57","23,074.04","23,400.47","23,035.91","27,100.74","29,735.02","32,045.97",2019
EST,Estonia,"Inflation, average consumer prices",Percent change,,0.068,0.8,3.651,3.412,2.268,-0.634,3.8,4.9,2.2,2020
EST,Estonia,Unemployment rate,Percent of total labor force,,6.185,6.758,5.763,5.371,4.448,6.806,6.516,6.014,5.379,2020
EST,Estonia,Population,Persons,Millions,1.315,1.316,1.317,1.322,1.327,1.329,1.33,1.33,1.329,2019
SWZ,Eswatini,"Gross domestic product, constant prices",Percent change,,2.203,1.101,2.027,2.372,2.244,-2.419,1.529,1.669,1.761,2019
SWZ,Eswatini,"Gross domestic product, current prices",U.S. dollars,Billions,4.061,3.815,4.407,4.666,4.471,3.981,4.517,4.794,4.985,2019
SWZ,Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,765.92","3,513.80","4,031.06","4,225.91","4,009.99","3,532.55","3,965.43","4,164.29","4,284.71",2017
SWZ,Eswatini,"Inflation, average consumer prices",Percent change,,4.951,7.847,6.221,4.815,2.598,3.872,4.295,4.665,4.604,2020
SWZ,Eswatini,Unemployment rate,Percent of total labor force,,,,,,,,,,,
SWZ,Eswatini,Population,Persons,Millions,1.078,1.086,1.093,1.104,1.115,1.127,1.139,1.151,1.163,2017
ETH,Ethiopia,"Gross domestic product, constant prices",Percent change,,10.4,8,10.21,7.703,9.037,6.057,1.989,n/a,n/a,2020
ETH,Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,63.081,72.12,76.841,80.207,92.608,96.611,92.757,n/a,n/a,2020
ETH,Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,702.767,790.82,829.313,852.011,968.253,994.197,939.511,n/a,n/a,2016
ETH,Ethiopia,"Inflation, average consumer prices",Percent change,,9.569,6.628,10.687,13.833,15.81,20.354,25.203,n/a,n/a,2019
ETH,Ethiopia,Unemployment rate,Percent of total labor force,,,,,,,,,,,
ETH,Ethiopia,Population,Persons,Millions,89.76,91.196,92.656,94.138,95.644,97.175,98.729,n/a,n/a,2016
FJI,Fiji,"Gross domestic product, constant prices",Percent change,,4.502,2.445,5.354,3.813,-0.445,-15.725,-3.997,6.195,8.259,2020
FJI,Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,4.682,4.93,5.353,5.581,5.496,4.494,4.639,5.01,5.537,2020
FJI,Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,385.52","5,620.58","6,049.89","6,272.73","6,142.93","4,995.16","5,127.44","5,507.13","6,053.59",2017
FJI,Fiji,"Inflation, average consumer prices",Percent change,,1.376,3.863,3.348,4.081,1.773,-2.593,1.1,1.7,2.1,2020
FJI,Fiji,Unemployment rate,Percent of total labor force,,5.5,5.5,4.5,4.5,4.5,13.351,9,6.5,5.5,2019
FJI,Fiji,Population,Persons,Millions,0.869,0.877,0.885,0.89,0.895,0.9,0.905,0.91,0.915,2017
FIN,Finland,"Gross domestic product, constant prices",Percent change,,0.544,2.811,3.192,1.142,1.343,-2.875,2.973,2.963,1.548,2020
FIN,Finland,"Gross domestic product, current prices",U.S. dollars,Billions,234.558,240.705,255.558,275.84,268.812,269.557,296.016,314.538,329.679,2020
FIN,Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"42,867.09","43,865.76","46,437.21","50,033.31","48,716.22","48,786.03","53,522.57","56,832.60","59,545.36",2020
FIN,Finland,"Inflation, average consumer prices",Percent change,,-0.156,0.389,0.839,1.169,1.137,0.383,1.892,1.611,1.6,2020
FIN,Finland,Unemployment rate,Percent of total labor force,,9.575,8.975,8.825,7.425,6.742,7.758,7.833,6.808,6.66,2020
FIN,Finland,Population,Persons,Millions,5.472,5.487,5.503,5.513,5.518,5.525,5.531,5.534,5.537,2020
FRA,France,"Gross domestic product, constant prices",Percent change,,1.042,1.026,2.442,1.841,1.838,-7.988,6.293,3.931,1.823,2020
FRA,France,"Gross domestic product, current prices",U.S. dollars,Billions,"2,438.21","2,471.26","2,589.03","2,789.68","2,728.83","2,624.42","2,940.43","3,140.03","3,281.71",2020
FRA,France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"37,918.77","38,332.68","40,053.62","43,021.38","41,989.67","40,298.85","45,028.27","47,952.13","49,974.95",2020
FRA,France,"Inflation, average consumer prices",Percent change,,0.088,0.306,1.166,2.097,1.297,0.525,1.962,1.62,1.167,2020
FRA,France,Unemployment rate,Percent of total labor force,,10.35,10.05,9.442,9,8.408,7.992,8.133,8.275,8.005,2020
FRA,France,Population,Persons,Millions,64.301,64.469,64.639,64.844,64.988,65.124,65.302,65.483,65.667,2020
GAB,Gabon,"Gross domestic product, constant prices",Percent change,,3.879,2.091,0.473,0.843,3.915,-1.838,1.481,3.905,3.195,2019
GAB,Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,14.385,14.02,14.924,16.875,16.875,15.339,18.293,19.632,20.292,2019
GAB,Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"7,453.11","7,082.22","7,370.35","8,220.50","8,111.34","7,277.37","8,569.22","9,083.63","9,276.92",2004
GAB,Gabon,"Inflation, average consumer prices",Percent change,,-0.143,2.086,2.652,4.777,2.022,1.341,2,2,2,2020
GAB,Gabon,Unemployment rate,Percent of total labor force,,,,,,,,,,,
GAB,Gabon,Population,Persons,Millions,1.93,1.98,2.025,2.053,2.08,2.108,2.135,2.161,2.187,2004
GMB,The Gambia,"Gross domestic product, constant prices",Percent change,,4.058,1.943,4.823,7.235,6.222,-0.202,4.86,6,6.5,2020
GMB,The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,1.355,1.47,1.498,1.662,1.806,1.862,2.042,2.173,2.363,2020
GMB,The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,649.511,683.998,676.656,729.035,768.921,769.661,819.22,846.506,893.571,2018
GMB,The Gambia,"Inflation, average consumer prices",Percent change,,6.808,7.225,8.049,6.521,7.116,5.931,7.035,6.303,6.114,2020
GMB,The Gambia,Unemployment rate,Percent of total labor force,,,,,,,,,,,
GMB,The Gambia,Population,Persons,Millions,2.086,2.149,2.214,2.28,2.349,2.419,2.492,2.567,2.644,2018
GEO,Georgia,"Gross domestic product, constant prices",Percent change,,3.027,2.906,4.843,4.843,4.982,-6.16,7.69,5.764,5.494,2020
GEO,Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,14.953,15.141,16.242,17.599,17.477,15.891,17.846,19.688,21.58,2020
GEO,Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,017.62","4,060.89","4,358.59","4,718.79","4,693.66","4,275.29","4,807.95","5,297.52","5,804.01",2020
GEO,Georgia,"Inflation, average consumer prices",Percent change,,4.004,2.135,6.035,2.615,4.853,5.202,9.269,5.43,3.04,2020
GEO,Georgia,Unemployment rate,Percent of total labor force,,21.912,21.722,21.598,19.249,17.605,18.501,n/a,n/a,n/a,2020
GEO,Georgia,Population,Persons,Millions,3.722,3.729,3.726,3.73,3.724,3.717,3.712,3.717,3.718,2020
DEU,Germany,"Gross domestic product, constant prices",Percent change,,1.487,2.23,2.68,1.086,1.05,-4.56,3.051,4.56,1.59,2020
DEU,Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"3,357.93","3,468.90","3,689.55","3,979.09","3,888.76","3,843.34","4,230.17","4,557.35","4,774.08",2020
DEU,Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"41,107.22","42,124.45","44,636.70","47,995.38","46,800.18","46,215.60","50,787.86","54,653.00","57,208.89",2020
DEU,Germany,"Inflation, average consumer prices",Percent change,,0.68,0.367,1.702,1.935,1.354,0.371,2.881,1.508,1.346,2020
DEU,Germany,Unemployment rate,Percent of total labor force,,4.633,4.133,3.758,3.4,3.15,3.833,3.696,3.56,3.459,2020
DEU,Germany,Population,Persons,Millions,81.687,82.349,82.657,82.906,83.093,83.161,83.291,83.387,83.45,2020
GHA,Ghana,"Gross domestic product, constant prices",Percent change,,2.121,3.374,8.129,6.2,6.508,0.414,4.712,6.172,4.653,2019
GHA,Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,49.437,56.144,60.385,67.259,68.353,68.498,75.487,82.018,87.736,2019
GHA,Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,784.25","1,982.24","2,086.60","2,275.77","2,265.71","2,225.51","2,413.10","2,556.51","2,666.59",2018
GHA,Ghana,"Inflation, average consumer prices",Percent change,,17.153,17.455,12.372,9.837,7.144,9.885,9.284,8.77,7.974,2019
GHA,Ghana,Unemployment rate,Percent of total labor force,,,,,,,,,,,
GHA,Ghana,Population,Persons,Millions,27.707,28.324,28.94,29.555,30.168,30.779,31.282,32.082,32.902,2018
